iter	Passed	Remaining
0	199	199513
1	209	104624
2	217	72360
3	225	56114
4	233	46399
5	242	40091
6	252	35752
7	262	32490
8	272	30032
9	284	28143
10	293	26411
11	304	25093
12	315	23958
13	326	23016
14	335	22037
15	345	21273
16	355	20581
17	366	19977
18	375	19399
19	383	18777
20	391	18251
21	399	17746
22	406	17275
23	417	16974
24	427	16670
25	435	16323
26	444	16010
27	451	15689
28	461	15447
29	470	15217
30	478	14963
31	487	14732
32	503	14765
33	528	15024
34	540	14904
35	548	14697
36	557	14497
37	568	14393
38	577	14219
39	585	14050
40	593	13887
41	601	13727
42	610	13584
43	618	13439
44	626	13289
45	633	13142
46	641	13004
47	650	12893
48	658	12778
49	665	12651
50	673	12531
51	681	12422
52	690	12330
53	699	12245
54	707	12148
55	715	12061
56	724	11980
57	732	11890
58	740	11805
59	749	11741
60	759	11687
61	767	11615
62	776	11555
63	787	11513
64	795	11439
65	803	11366
66	811	11296
67	819	11236
68	827	11167
69	836	11119
70	844	11052
71	853	11004
72	862	10949
73	870	10895
74	879	10841
75	887	10793
76	897	10754
77	905	10698
78	912	10641
79	920	10591
80	930	10560
81	938	10505
82	946	10453
83	954	10407
84	962	10363
85	970	10309
86	978	10264
87	986	10224
88	994	10177
89	1003	10144
90	1012	10109
91	1020	10068
92	1028	10028
93	1035	9982
94	1043	9941
95	1051	9899
96	1059	9864
97	1067	9826
98	1074	9783
99	1082	9741
100	1089	9698
101	1096	9651
102	1103	9606
103	1109	9562
104	1116	9520
105	1123	9477
106	1130	9437
107	1138	9399
108	1144	9359
109	1154	9337
110	1162	9311
111	1170	9277
112	1178	9249
113	1188	9235
114	1196	9204
115	1203	9168
116	1209	9129
117	1216	9091
118	1222	9053
119	1229	9017
120	1236	8984
121	1243	8949
122	1250	8913
123	1256	8879
124	1263	8845
125	1270	8812
126	1276	8777
127	1284	8750
128	1291	8717
129	1297	8685
130	1304	8653
131	1311	8622
132	1317	8590
133	1324	8560
134	1331	8529
135	1337	8499
136	1344	8470
137	1351	8443
138	1358	8414
139	1365	8388
140	1372	8364
141	1380	8343
142	1388	8322
143	1396	8301
144	1403	8277
145	1411	8255
146	1419	8234
147	1426	8213
148	1434	8193
149	1442	8173
150	1450	8153
151	1458	8136
152	1466	8119
153	1474	8099
154	1483	8086
155	1491	8071
156	1502	8067
157	1511	8057
158	1520	8044
159	1530	8034
160	1538	8016
161	1547	8003
162	1555	7989
163	1562	7964
164	1570	7947
165	1580	7940
166	1590	7932
167	1598	7915
168	1606	7900
169	1616	7892
170	1624	7873
171	1631	7856
172	1639	7838
173	1647	7819
174	1654	7800
175	1662	7783
176	1670	7769
177	1679	7754
178	1687	7738
179	1694	7720
180	1702	7703
181	1710	7687
182	1718	7673
183	1726	7657
184	1734	7642
185	1742	7624
186	1749	7607
187	1757	7592
188	1766	7578
189	1774	7563
190	1782	7550
191	1789	7531
192	1797	7514
193	1804	7498
194	1812	7483
195	1819	7465
196	1827	7447
197	1834	7431
198	1842	7415
199	1849	7398
200	1857	7383
201	1865	7367
202	1872	7350
203	1880	7335
204	1887	7320
205	1895	7305
206	1902	7288
207	1910	7274
208	1917	7257
209	1924	7240
210	1931	7224
211	1938	7207
212	1945	7189
213	1952	7172
214	1959	7155
215	1966	7138
216	1973	7120
217	1980	7103
218	1987	7089
219	1995	7074
220	2003	7060
221	2010	7044
222	2016	7026
223	2023	7009
224	2030	6992
225	2037	6976
226	2043	6959
227	2050	6943
228	2057	6926
229	2064	6910
230	2071	6895
231	2077	6878
232	2090	6882
233	2104	6889
234	2118	6896
235	2130	6896
236	2140	6890
237	2151	6889
238	2165	6894
239	2178	6898
240	2188	6893
241	2197	6883
242	2206	6873
243	2214	6861
244	2222	6847
245	2229	6833
246	2236	6818
247	2243	6802
248	2250	6787
249	2257	6772
250	2265	6759
251	2274	6752
252	2282	6740
253	2290	6727
254	2298	6715
255	2306	6701
256	2314	6691
257	2322	6680
258	2330	6667
259	2338	6656
260	2347	6646
261	2354	6632
262	2363	6622
263	2371	6611
264	2379	6598
265	2387	6588
266	2395	6575
267	2402	6561
268	2410	6549
269	2418	6539
270	2427	6531
271	2435	6519
272	2445	6511
273	2453	6501
274	2461	6489
275	2469	6478
276	2478	6468
277	2485	6455
278	2494	6445
279	2502	6433
280	2510	6422
281	2517	6410
282	2525	6398
283	2533	6387
284	2541	6375
285	2549	6365
286	2557	6352
287	2565	6342
288	2573	6330
289	2581	6319
290	2589	6308
291	2597	6297
292	2604	6284
293	2612	6272
294	2619	6261
295	2626	6246
296	2634	6235
297	2641	6222
298	2649	6212
299	2658	6202
300	2666	6191
301	2674	6181
302	2682	6169
303	2689	6157
304	2696	6144
305	2703	6132
306	2710	6119
307	2717	6106
308	2724	6093
309	2731	6079
310	2738	6066
311	2745	6053
312	2752	6041
313	2759	6029
314	2767	6018
315	2775	6006
316	2782	5994
317	2789	5982
318	2796	5970
